id,timestamp,symbol,direction,action,quantity,entry_price,exit_price,status,realized_pnl,realized_pnl_percent,max_profit_percent,max_drawdown_percent,regime,confidence,reasons
trade_1786938544521,1786938544.5217938,360ONE.NS,BUY,CLOSE,11,1179.0,1152.0,CLOSED,-297.0,-2.2900763358778624,0.0,2.2900763358778624,BULL,55.79,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1786938549186,1786938549.1867442,NSLNISP.NS,BUY,CLOSE,221,43.0,41.4,CLOSED,-353.6000000000003,-3.720930232558143,0.0,3.720930232558143,SIDEWAYS,51.76,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.; No fresh news — news component does not contribute to the exit score.
trade_1786938551612,1786938551.612195,HUDCO.NS,SELL,CLOSE,45,189.60000610351562,187.63,CLOSED,88.65027465820333,1.0390327215707307,1.0390327215707307,0.0,BEAR,58.81,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1786938552536,1786938552.5360653,BELRISE.NS,BUY,CLOSE,84,254.38999938964844,242.61,CLOSED,-989.5199487304676,-4.630684939624938,0.935571608971194,4.630684939624938,BULL,52.6,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.; No fresh news — news component does not contribute to the exit score.
trade_1787024882436,1787024882.4367766,JSWINFRA.NS,BUY,CLOSE,56,341.29998779296875,333.75,CLOSED,-422.79931640625,-2.2121265933207543,0.014653445303259124,2.2121265933207543,BULL,56.49,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.; Fundamentals have deteriorated for this BUY position (68/100).
trade_1787024891518,1787024891.5189254,AARTIIND.NS,BUY,CLOSE,44,538.2000122070312,527.0,CLOSED,-492.800537109375,-2.0810129975847906,0.0,2.0810129975847906,BULL,59.06,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1787024894590,1787024894.590751,HDFCAMC.NS,SELL,CLOSE,3,2481.60009765625,2525.8,CLOSED,-132.59970703125055,-1.7811049566565873,0.05641914898264654,1.7811049566565873,BEAR,53.75,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.; News sentiment now works against this SELL position (65/100).
paper_LTF_NS_1787111207588,1787111207.5892324,LTF.NS,BUY,BUY,40,327.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.58% (0.20x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_ACE_NS_1787111207923,1787111207.9240496,ACE.NS,BUY,BUY,10,1190.699951171875,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.50% (0.14x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_FIRSTCRY_NS_1787111208459,1787111208.4603145,FIRSTCRY.NS,SELL,SELL,58,205.60000610351562,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.46% (0.18x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_KEC_NS_1787111208781,1787111208.7824528,KEC.NS,SELL,SELL,26,428.6000061035156,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.00% (0.00x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_WELCORP_NS_1787111209041,1787111209.0422862,WELCORP.NS,BUY,BUY,5,1929.199951171875,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.63% (0.26x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_CHENNPETRO_NS_1787111209355,1787111209.3558073,CHENNPETRO.NS,BUY,BUY,7,1429.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +1.78% (0.34x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_AEGISLOG_NS_1787111209658,1787111209.6585321,AEGISLOG.NS,BUY,BUY,7,1372.0999755859375,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.32% (0.06x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_DATAPATTNS_NS_1787111210219,1787111210.2202792,DATAPATTNS.NS,BUY,BUY,1,4755.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.38% (0.10x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_OIL_NS_1787111210508,1787111210.508578,OIL.NS,BUY,BUY,18,485.79998779296875,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +1.10% (0.41x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_MCX_NS_1787111210783,1787111210.784192,MCX.NS,BUY,BUY,2,3060.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.66% (0.21x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_WELSPUNLIV_NS_1787111211037,1787111211.0376089,WELSPUNLIV.NS,BUY,BUY,47,177.5,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.16% (0.04x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_VOLTAS_NS_1787111211361,1787111211.361908,VOLTAS.NS,SELL,SELL,6,1250.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.23% (0.08x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_IFCI_NS_1787111211602,1787111211.603035,IFCI.NS,BUY,BUY,93,81.87000274658203,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.63% (0.18x ATR, NORMAL band); No news available."
paper_ENGINERSIN_NS_1787111211956,1787111211.9564998,ENGINERSIN.NS,BUY,BUY,29,244.77999877929688,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.00% (0.00x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_MINDACORP_NS_1787111212229,1787111212.2301958,MINDACORP.NS,BUY,BUY,9,749.0,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +0.50% (0.13x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_IPCALAB_NS_1787111212866,1787111212.8669493,IPCALAB.NS,BUY,BUY,3,1882.0999755859375,,OPEN,,,,,N/A,0.0,"Morning Executor: gap -0.00% (0.00x ATR, NORMAL band); No NEW overnight news since last night's scan."
paper_MRPL_NS_1787111213170,1787111213.1709824,MRPL.NS,BUY,BUY,35,179.5,,OPEN,,,,,N/A,0.0,"Morning Executor: gap +1.16% (0.26x ATR, NORMAL band); No NEW overnight news since last night's scan."
trade_1787111262784,1787111262.7848473,IFCI.NS,BUY,CLOSE,93,81.87000274658203,82.7,CLOSED,77.18974456787136,1.0137989807904617,1.0137989807904617,0.0,BULL,54.1,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.; Fundamentals have deteriorated for this BUY position (71/100).; No fresh news — news component does not contribute to the exit score.
trade_1787111274126,1787111274.1262794,SBIN.NS,BUY,CLOSE,14,1082.0,1048.7,CLOSED,-466.19999999999936,-3.0776340110905687,0.09242144177449169,3.0776340110905687,BULL,57.39,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1787111283801,1787111283.8011878,MRPL.NS,BUY,CLOSE,35,179.5,178.4,CLOSED,-38.4999999999998,-0.6128133704735345,0.0,0.6128133704735345,BULL,56.08,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1787111291719,1787111291.7196665,ARE&M.NS,BUY,CLOSE,21,951.0,940.8,CLOSED,-214.20000000000095,-1.0725552050473235,1.934805467928494,1.0725552050473235,BULL,57.8,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1787111296842,1787111296.8420942,UNIONBANK.NS,BUY,CLOSE,94,187.3300018310547,186.26,CLOSED,-100.58017211914148,-0.5711855125158691,0.9074884707888238,0.9181667721360904,BULL,57.48,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.; Fundamentals have deteriorated for this BUY position (64/100).
trade_1787197658201,1787197658.2015882,AEGISLOG.NS,BUY,CLOSE,7,1372.0999755859375,1354.4,CLOSED,-123.89982910156186,-1.2899916843434724,0.4445757978719888,1.2899916843434724,BULL,55.53,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
trade_1787197663193,1787197663.1931305,MCX.NS,BUY,CLOSE,2,3060.0,3052.3,CLOSED,-15.399999999999636,-0.25163398692809863,0.0,0.8202614379084937,BULL,61.85,HARD RISK EXIT: Risk engine flagged this symbol as unsafe.
